,Title,date added to alvro,type
0424 - Gumman Story 2 (Japan) (eShop).zip,71.30 MB,2016-03-03 15:03,EShop scene no rar
"3DS0453 - Boulder Dash-XL 3D (Europe)(En,Fr,Ge,It,Es).rar",71.12 MB,2016-01-06 0:01,Rom Secen no rar
0391 - Gunman Clive 2 (Europe) (eShop).zip,71.04 MB,2016-03-03 15:03,EShop scene no rar
z315 - Gunman Clive 2 (USA) (eShop).zip,71.04 MB,2016-05-03 3:05,EShop scene no rar
3DS1518 - Kirby - Planet Robobot (USA).rar,709.54 MB,2017-02-05 4:02,Rom Secen no rar
3DS1846 - Mario & Luigi RPG 3 DX (Japan).rar,707.66 MB,2019-01-27 21:01,Rom Secen no rar
"3DS0322 - Pro Evolution Soccer 2013 3D (Europe)(Fr,Ge).rar",707.20 MB,2016-01-04 21:01,Rom Secen no rar
"3DS0673 - Legend of Zelda, The - Kamigami no Triforce 2 (Japan).rar",705.95 MB,2016-01-08 3:01,Rom Secen no rar
"3DS0321 - Pro Evolution Soccer 2012 3D (Europe)(Fr,Ge).rar",705.52 MB,2016-01-04 21:01,Rom Secen no rar
3DS1511 - Hoshi no _by - Robobo Planet (Japan).rar,704.13 MB,2017-02-05 0:02,Rom Secen no rar
"0170 - Another World - 20th Anniversary Edition (Europe) (En,Fr,De,Es,It) (eShop).zip",70.99 MB,2016-03-03 14:03,EShop scene no rar
z149 - Simple DL Series Vol. 31 - The Misshitsu Kara no Dasshutsu - Enchou Hisshi no Karaoke Hen (Japan) (eShop).zip,70.61 MB,2016-05-03 2:05,EShop scene no rar
"3DS0598 - My Farm 3D(Europe)(En,Fr,Ge,It,Es,Nl,Da,Sv,Nb,Fi,Pt).rar",70.27 MB,2016-01-07 3:01,Rom Secen no rar
z189 - Photos With Mario (Europe) (eShop).zip,7.98 MB,2016-05-03 2:05,EShop scene no rar
z121 - VectorRacing (USA) (eShop).zip,7.97 MB,2016-05-03 2:05,EShop scene no rar
"z215 - YouTube (Europe) (En,Fr,De,Es,It,Pt,Ru) (Rev 2) (eShop).zip",7.96 MB,2016-05-03 2:05,EShop scene no rar
z217 - YouTube (USA) (Rev 2) (eShop).zip,7.96 MB,2016-05-03 2:05,EShop scene no rar
0113 - Bomb Monkey (USA) (eShop).zip,7.87 MB,2016-03-03 13:03,EShop scene no rar
z055 - 3D Fantasy Zone II W (Japan) (eShop).zip,7.68 MB,2016-03-03 18:03,EShop scene no rar
"0104 - Photos with Mario (USA) (En,Fr,Es) (eShop).zip",7.65 MB,2016-03-03 13:03,EShop scene no rar
0574 - NES Open Tournament Golf (Europe) (Rev 2) (NES) (Virtual Console).zip,7.46 MB,2016-05-03 3:05,EShop scene no rar
0484 - 3D Fantasy Zone II W (Europe) (eShop).zip,7.42 MB,2016-03-03 16:03,EShop scene no rar
0398 - Flipnote Studio 3D (USA) (eShop).zip,7.40 MB,2016-03-03 15:03,EShop scene no rar
z046 - Isshoni Photo Super Mario (Japan) (eShop).zip,7.38 MB,2016-03-03 18:03,EShop scene no rar
0222 - 3D Super Hang-On (USA) (eShop).zip,7.23 MB,2016-03-03 14:03,EShop scene no rar
"0164 - Mysterious Murasame Castle, The (Europe) (NES) (Virtual Console).zip",7.11 MB,2016-03-03 14:03,EShop scene no rar
3DS0845 - Starry Sky - In Summer 3D (Japan).rar,699.17 MB,2016-01-09 12:01,Rom Secen no rar
3DS1114 - One Piece - Super Grand Battle! X (Japan).rar,699.06 MB,2016-01-14 11:01,Rom Secen no rar
3DS1304 - Daigyakuten Saiban - Naruhodou Ryuunosuke no Bouken (Japan).rar,693.61 MB,2016-01-16 17:01,Rom Secen no rar
3DS0063 - Ace Combat Assault Horizon Legacy (Usa).rar,691.80 MB,2016-01-02 2:01,Rom Secen no rar
3DS0690 - Ace Combat 3D - Cross Rumble (Japan).rar,691.05 MB,2016-01-08 4:01,Rom Secen no rar
3DS0839 - Nikoli no Sudoku 3D Dai-ni-Shuu - 8-tsu no Puzzle de 1000-Mon (Japan).rar,69.57 MB,2016-01-09 12:01,Rom Secen no rar
"3DS1343 - Teenage Mutant Ninja Turtles - Master Splinters Training Pack (Europe) (En,Fr,De,Es,It,Nl,Sv).rar",689.71 MB,2016-01-16 19:01,Rom Secen no rar
"3DS1627 - Legend of Zelda, The - Majora_s Mask 3D (Europe) (En,Fr,De,Es,It) (Rev 1).rar",688.22 MB,2017-02-05 5:02,Rom Secen no rar
3DS0449 - Hot Wheels - Worlds Best Driver (USA).rar,686.83 MB,2016-01-06 0:01,Rom Secen no rar
3DS0119 - Madden NFL Football (Usa).rar,685.93 MB,2016-01-02 20:01,Rom Secen no rar
3DS0702 - Hero Bank (Japan).rar,685.87 MB,2016-01-08 22:01,Rom Secen no rar
3DS0024 - Madden NFL Football (Europe) (En).rar,685.66 MB,2016-01-02 0:01,Rom Secen no rar
"3DS0669 - Hot Wheels - Worlds Best Driver (Europe) (En,Fr,De,Es,It,Nl).rar",685.45 MB,2016-01-08 3:01,Rom Secen no rar
"3DS1445 - Sonic Generations (Europe) (En,Fr,De,Es,It) (Rev 1).zip",683.63 MB,2016-05-02 11:05,Rom Secen no rar
3DS0874 - Kira Meki Oshare Salon! Watashi no Shigoto wa Biyoushi-San (Japan).rar,68.74 MB,2016-01-09 13:01,Rom Secen no rar
0333 - Quell Reflect (Europe) (eShop).zip,68.42 MB,2016-03-03 14:03,EShop scene no rar
0231 - Quell Reflect (USA) (eShop).zip,68.36 MB,2016-03-03 14:03,EShop scene no rar
"3DS1185 - The Legend of Zelda Majoras Mask 3D (Europe) (En,Fr,Ge,It,Es).rar",677.17 MB,2016-01-14 15:01,Rom Secen no rar
"3DS1321 - Mario Kart 7 (Europe) (En,Fr,De,Es,It,Nl,Pt,Ru) (Rev 1).rar",675.86 MB,2016-01-16 18:01,Rom Secen no rar
3DS0417 - Real Heroes - Firefighter 3D (Usa).rar,675.49 MB,2016-01-05 23:01,Rom Secen no rar
"3DS1441 - Final Fantasy Explorers (Europe) (En,Fr).zip",675.35 MB,2016-05-02 10:05,Rom Secen no rar
3DS0115 - Resident Evil The Mercenaries 3D (Usa).rar,673.38 MB,2016-01-02 20:01,Rom Secen no rar
"3DS0147 - Sonic Generations (Europe) (En,Fr,Ge,It,Es).rar",673.25 MB,2016-01-02 22:01,Rom Secen no rar
3DS0348 - Biohazard - The Mercenaries 3D (Japan) .rar,673.23 MB,2016-01-04 22:01,Rom Secen no rar
"3DS0008 - Resident Evil The Mercenaries 3D (Europe)(En,Fr,Ge,it,Es).rar",673.21 MB,2016-01-01 21:01,Rom Secen no rar
"3DS0482 - Mahjong Mysteries - Ancient Athena 3D (Europe)(En,Fr,It,Es).rar",67.57 MB,2016-01-06 1:01,Rom Secen no rar
"3DS0329 - Mahjong Mysteries Ancient Athena 3D (Europe)(En,Fr,Ge,It,Es).rar",67.24 MB,2016-01-04 22:01,Rom Secen no rar
3DS1444 - Final Fantasy Explorers (USA).zip,667.63 MB,2016-05-02 10:05,Rom Secen no rar
3DS0852 - Mario Kart 7 (USA) (Rev 1).rar,666.29 MB,2016-01-09 12:01,Rom Secen no rar
"z364 - Kirby - Planet Robobot (World) (En,Ja,Fr,De,Es,It) (eShop).zip",664.68 MB,2018-01-30 9:01,EShop scene no rar
3DS1164 - Mario Kart 7 (Japan) (Rev 2).rar,662.08 MB,2016-01-14 14:01,Rom Secen no rar
"3DS0016 - Mario Kart 7 (Europe) (En,Fr,Ge,It,Es,Nl,Po,Ru).rar",661.78 MB,2016-01-02 0:01,Rom Secen no rar
z190 - Meiga to Tanoshimu - Otona no Machigai Sagashi (Japan) (eShop).zip,66.94 MB,2016-05-03 2:05,EShop scene no rar
"0247 - Star Wars Pinball (USA) (En,Fr,Es) (eShop).zip",66.92 MB,2016-03-03 14:03,EShop scene no rar
3DS0425 - Minna no Ennichi (Japan).rar,66.91 MB,2016-01-05 23:01,Rom Secen no rar
3DS0870 - Zoo Keeper 3D (Japan).rar,66.79 MB,2016-01-09 13:01,Rom Secen no rar
"0341 - Zen Pinball 3D (Europe) (En,Fr,De,Es,It) (eShop).zip",66.77 MB,2016-03-03 14:03,EShop scene no rar
z017 - Riki Densetsu (Japan) (eShop).zip,66.57 MB,2016-03-03 17:03,EShop scene no rar
z106 - Riki Densetsu (Japan) (eShop).zip,66.57 MB,2016-05-03 2:05,EShop scene no rar
"0366 - 101 Penguin Pets 3D (Europe) (En,Fr,De,Es,It) (eShop).zip",66.36 MB,2016-03-03 15:03,EShop scene no rar
z163 - Chronus Arc (Europe) (eShop).zip,66.19 MB,2016-05-03 2:05,EShop scene no rar
"0128 - Zen Pinball (USA) (En,Fr,Es) (eShop).zip",66.05 MB,2016-03-03 13:03,EShop scene no rar
3DS1192 - The Legend Of Zelda Majoras Mask 3D ( Usa).rar,659.65 MB,2016-01-14 15:01,Rom Secen no rar
3DS0398 - Deca Sporta - 3D Sports (Japan).rar,658.60 MB,2016-01-05 1:01,Rom Secen no rar
3DS0040 - Mario Kart 7 (U).rar,656.64 MB,2016-01-02 1:01,Rom Secen no rar
3DS1189 - Zelda no Densetsu - Majora no Kamen 3D (Japan).rar,656.49 MB,2016-01-14 15:01,Rom Secen no rar
3DS0211 - Mario Kart 7 (Japan).rar,653.89 MB,2016-01-04 4:01,Rom Secen no rar
3DS1457 - Mario & Sonic at Rio Olympics (Japan).zip,653.54 MB,2016-05-02 11:05,Rom Secen no rar
3DS0467 - Ice Age - Continental Drift - Arctic Games (Usa).rar,651.12 MB,2016-01-06 1:01,Rom Secen no rar
3DS1559 - Dragon Ball Fusions (Japan).rar,651.06 MB,2017-02-05 4:02,Rom Secen no rar
"0431 - Olli Olli (Europe) (En,Fr,De,Es,It) (eShop).zip",65.98 MB,2016-03-03 16:03,EShop scene no rar
3DS0737 - Farming Simulator 3D - Pocket Nouen (Japan).rar,65.93 MB,2016-01-09 0:01,Rom Secen no rar
"0532 - Olli Olli (USA) (En,Fr,De,Es,It) (eShop).zip",65.91 MB,2016-03-03 16:03,EShop scene no rar
0239 - Mahjong 3D - Essentials (USA) (eShop).zip,65.62 MB,2016-03-03 14:03,EShop scene no rar
"3DS1212 - Navy Commander (Europe) (En,Fr,Ge,It,Es,Nl).rar",65.30 MB,2016-01-15 15:01,Rom Secen no rar
"0171 - Mario and Donkey Kong - Minis on the Move (Europe) (En,Fr,De,Es,It) (eShop).zip",65.28 MB,2016-03-03 14:03,EShop scene no rar
"3DS0658 - Pro Evolution Soccer 2013 3D (Europe) (En,Ru,Tu,No,Sv).rar",648.07 MB,2016-01-08 2:01,Rom Secen no rar
"3DS1368 - Star Fox 64 3D v1.3 (Europe)(En,Fr,Ge,It,Es).rar",645.31 MB,2016-01-16 21:01,Rom Secen no rar
"3DS0117 - Need for Speed - The Run (Europe)(En,Fr,Ge,It,Es,Nl).rar",641.63 MB,2016-01-02 20:01,Rom Secen no rar
3DS0228 - Mario Kart 7 (Cn).rar,641.08 MB,2016-01-04 4:01,Rom Secen no rar
3DS0959 - Legends of Oz - Dorothys Return (Europe) (En).rar,64.83 MB,2016-01-11 3:01,Rom Secen no rar
z331 - 1001 Spikes (USA) (Rev 1) (eShop).zip,64.81 MB,2016-05-03 3:05,EShop scene no rar
3DS0082 - Bust-A-Move Universe (Usa).rar,64.68 MB,2016-01-02 3:01,Rom Secen no rar
3DS0473 - Regular Show - Mordecai and Rigby in 8-bit Land (Usa).rar,64.68 MB,2016-01-06 1:01,Rom Secen no rar
3DS0546 - My Exotic Farm (Europe).rar,64.41 MB,2016-01-07 1:01,Rom Secen no rar
0544 - Swords & Darkness (USA) (eShop).zip,64.41 MB,2016-03-03 16:03,EShop scene no rar
3DS0177 - Need for Speed - The Run (Usa).rar,639.24 MB,2016-01-02 23:01,Rom Secen no rar
3DS1089 - Tetsudou Nippon! Rosen Tabi - Eizan Densha Hen (Japan).rar,638.61 MB,2016-01-13 4:01,Rom Secen no rar
3DS0947 - Need for Speed - The Run (Japan).rar,637.43 MB,2016-01-11 3:01,Rom Secen no rar
z024 - Mario Kart 7 (China) (eShop).zip,636.20 MB,2016-03-03 17:03,EShop scene no rar
z113 - Mario Kart 7 (China) (eShop).zip,636.20 MB,2016-05-03 2:05,EShop scene no rar
3DS1611 - Dragon Ball Fusions (USA).rar,632.97 MB,2017-02-05 5:02,Rom Secen no rar
"3DS0195 - Pro Evolution Soccer 2012 3D (Europe)(En,Nl,Ru,Se,Tu).rar",632.66 MB,2016-01-02 23:01,Rom Secen no rar
0490 - Simple DL Series Vol. 38 - The Item Sagashi - Joshikousei Tantei Shinjitsu no Jikenbo (Japan) (eShop).zip,63.47 MB,2016-03-03 16:03,EShop scene no rar
z136 - Simple DL Series Vol. 34 - The Misshitsu Kara no Dasshutsu - Fushigi Hakken! Hakubutsukan-Hen (Japan) (eShop).zip,63.43 MB,2016-05-03 2:05,EShop scene no rar
0563 - Ninja Battle Heroes (Europe) (eShop).zip,63.38 MB,2016-03-03 17:03,EShop scene no rar
0144 - Ninja Battle Heroes (USA) (eShop).zip,63.24 MB,2016-03-03 13:03,EShop scene no rar
z212 - Lionel City Builder 3D - Rise of the Rails (USA) (eShop).zip,63.03 MB,2016-05-03 2:05,EShop scene no rar
3DS1509 - Skylanders SuperChargers Racing (USA).rar,629.20 MB,2017-02-05 0:02,Rom Secen no rar
3DS0899 - Kirby T_le Deluxe 3DS (USA) .rar,628.43 MB,2016-01-09 14:01,Rom Secen no rar
"3DS0006 - StarFox 64 3D (Europe) (En,Fr,Ge,It,Es).rar",627.80 MB,2016-01-01 21:01,Rom Secen no rar
3DS0043 - Sonic Generations (U).rar,624.22 MB,2016-01-02 1:01,Rom Secen no rar
3DS0858 - Lost Heroes (Japan).rar,621.67 MB,2016-01-09 13:01,Rom Secen no rar
3DS0846 - Starry Sky - In Autumn 3D (Japan).rar,620.15 MB,2016-01-09 12:01,Rom Secen no rar
0281 - Bugs Vs. Tanks! (Europe) (eShop).zip,62.86 MB,2016-03-03 14:03,EShop scene no rar
z306 - NicoNico (Japan) (Rev 1) (eShop).zip,62.05 MB,2016-05-03 3:05,EShop scene no rar
z241 - Musicverse - Electronic Keyboard (USA) (eShop).zip,62 MB,2016-05-03 2:05,EShop scene no rar
3DS0461 - Scribblenauts Unmasked - A DC Comics Adventure (Usa).rar,619.98 MB,2016-01-06 1:01,Rom Secen no rar
z204 - Meitantei Pikachu - Shin Combi Tanjou (Japan) (eShop).zip,619.36 MB,2016-05-03 2:05,EShop scene no rar
3DS0652 - Hoshi no Kirby T_le Deluxe (jp).rar,618.96 MB,2016-01-08 2:01,Rom Secen no rar
"z296 - My Nintendo Picross - The Legend of Zelda - Twilight Princess (World) (En,Ja,Fr,De,Es,It) (eShop).zip",61.95 MB,2016-05-03 3:05,EShop scene no rar
0438 - Chat-A-Lot (USA) (eShop).zip,61.91 MB,2016-03-03 16:03,EShop scene no rar
3DS0569 - Regular.Show.Mordecai.and.Rigby.in.8Bit.Land.(Europe) (En).rar,61.89 MB,2016-01-07 2:01,Rom Secen no rar
"3DS0279 - Monster 4x4 3D (Europe)(En,Fr,Ge,It,Es).rar",61.77 MB,2016-01-04 8:01,Rom Secen no rar
"3DS0410 - 3D MahJongg (Europe)(En,Fr,Ge,Nl}.rar",61.69 MB,2016-01-05 23:01,Rom Secen no rar
0232 - 1001 Spikes (USA) (eShop).zip,61.68 MB,2016-03-03 14:03,EShop scene no rar
3DS0915 - Legends of Oz - Dorothys Return (Usa).rar,61.46 MB,2016-01-11 2:01,Rom Secen no rar
"3DS0591 - Luxor. (Europe)(En,Fr,De,Nl).rar",61.35 MB,2016-01-07 2:01,Rom Secen no rar
"0517 - Dr. Mario - Miracle Cure (World) (En,Ja,Fr,De,Es,It) (eShop).zip",61.22 MB,2016-03-03 16:03,EShop scene no rar
3DS0990 - Jukugo - Sokubiki Jiten Yomenai Kanji mo Raku Raku Yomeru (Japan).rar,61.10 MB,2016-01-11 5:01,Rom Secen no rar
"3DS0979 - Hello Kitty Picnic with Sanrio Characters (Europe) (En,Fr,De,Es,It).rar",61.07 MB,2016-01-11 5:01,Rom Secen no rar
z159 - Japanese Rail Sim 3D - Journey to Kyoto (Europe) (eShop).zip,607.38 MB,2016-05-03 2:05,EShop scene no rar
0076 - VVVVVV (Europe) (Rev 1) (eShop).zip,60.74 MB,2016-03-03 13:03,EShop scene no rar
0463 - VVVVVV (USA) (eShop).zip,60.72 MB,2016-03-03 16:03,EShop scene no rar
z226 - VVVVVV (USA) (eShop).zip,60.69 MB,2016-05-03 2:05,EShop scene no rar
"3DS0297 - Cats & Dogs Pets At Play (Europe)(En,Fr,Ge,It,Es).rar",60.63 MB,2016-01-04 8:01,Rom Secen no rar
"3DS0198 - Pets Paradise Resort 3D (Europe) (En,Fr,Ge,It,Es,Nl).rar",60.43 MB,2016-01-02 23:01,Rom Secen no rar
"0499 - Dedede's Drum Dash Deluxe (Europe) (En,Fr,De,Es,It) (eShop).zip",60.16 MB,2016-03-03 16:03,EShop scene no rar
"3DS0312 - Arcade Classics 3D (Europe)(En,Fr,Ge,It,Es,Nl).rar",60.02 MB,2016-01-04 21:01,Rom Secen no rar
0255 - Mega Man VI (USA) (NES) (Virtual Console).zip,6.92 MB,2016-03-03 14:03,EShop scene no rar
z245 - Super Mario Bros. - The Lost Levels (Europe) (NES) (Virtual Console).zip,6.89 MB,2016-05-03 2:05,EShop scene no rar
0140 - Woah Dave! (USA) (eShop).zip,6.79 MB,2016-03-03 13:03,EShop scene no rar
z227 - Mario Golf (Europe) (GBC) (Virtual Console).zip,6.77 MB,2016-05-03 2:05,EShop scene no rar
0224 - Super Mario Bros. 2 (USA) (NES) (Virtual Console).zip,6.64 MB,2016-03-03 14:03,EShop scene no rar
z071 - Pokemon Trading Card Game (Europe) (GBC) (Virtual Console).zip,6.63 MB,2016-05-03 1:05,EShop scene no rar
z253 - Mega Man 2 (USA) (NES) (Virtual Console).zip,6.63 MB,2016-05-03 2:05,EShop scene no rar
z069 - Donkey Kong Jr. (Europe) (Rev 1) (NES) (Virtual Console).zip,6.62 MB,2016-05-03 1:05,EShop scene no rar
z288 - NES Open Tournament Golf (Asia) (Rev 2) (NES) (Virtual Console).zip,6.50 MB,2016-05-03 3:05,EShop scene no rar
0274 - Mighty Final Fight (USA) (eShop).zip,6.38 MB,2016-03-03 14:03,EShop scene no rar
0225 - Super Mario Bros. - The Lost Levels (USA) (NES) (Virtual Console).zip,6.19 MB,2016-03-03 14:03,EShop scene no rar
z236 - Donkey Kong - Original Edition (USA) (NES) (Virtual Console).zip,6.11 MB,2016-05-03 2:05,EShop scene no rar
z275 - Donkey Kong Jr. (USA) (Rev 2) (NES) (Virtual Console).zip,6.05 MB,2016-05-03 3:05,EShop scene no rar
3DS0835 - Meitantei Conan - Phantom Rhapsody (Japan).rar,596.63 MB,2016-01-09 12:01,Rom Secen no rar
3DS1260 - LEra Glaciale 4 - Continenti alla Deriva - Giochi Polari (Italy).rar,594.74 MB,2016-01-15 18:01,Rom Secen no rar
3DS0044 - Star Fox 64 3D (U).rar,593.69 MB,2016-01-02 1:01,Rom Secen no rar
3DS1557 - Sekaiju no Meikyuu V - Nagaki Shinwa no Hate (Japan) (Rev 1).rar,590.20 MB,2017-02-05 4:02,Rom Secen no rar
3DS0882 - Elminage Gothic 3DS Remix - Ulm Zakir to Yami no Gishiki (Japan).rar,590.10 MB,2016-01-09 14:01,Rom Secen no rar
"3DS0732 - Spot the Differences (Europe) (En,Fr,De,Es,It,Nl).rar",59.71 MB,2016-01-08 23:01,Rom Secen no rar
z165 - Simple DL Series Vol. 24 - The Misshitsu Kara no Dasshutsu - Iyasarenai Onsen Hen (Japan) (eShop).zip,59.49 MB,2016-05-03 2:05,EShop scene no rar
3DS0438 - Monster 4x4 3D (Usa).rar,59.38 MB,2016-01-06 0:01,Rom Secen no rar
3DS0912 - Choujin Ultra Baseball Action Card Battle (Japan).rar,59.33 MB,2016-01-11 2:01,Rom Secen no rar
0488 - Shin Hyu Stone (Japan) (eShop).zip,59.24 MB,2016-03-03 16:03,EShop scene no rar
3DS1335 - Etrian Mystery Dungeon (Europe) (En).rar,586.89 MB,2016-01-16 19:01,Rom Secen no rar
3DS1216 - Story of Seasons (Usa).rar,586.34 MB,2016-01-15 15:01,Rom Secen no rar
3DS0672 - Bokujou Monogatari - Tsunagaru Shin Tenchi (Japan).rar,586.16 MB,2016-01-08 3:01,Rom Secen no rar
3DS0354 - Gyakuten Saiban 5 (Japan).rar,584.12 MB,2016-01-04 23:01,Rom Secen no rar
3DS0552 - Daigasso_Band Brothers (JP).rar,582.70 MB,2016-01-07 1:01,Rom Secen no rar
"3DS0894 - Hometown Story (Europe ) (En,Ge,Fr).rar",582.46 MB,2016-01-09 14:01,Rom Secen no rar
0466 - Puzzle Bottle (Japan) (eShop).zip,58.88 MB,2016-03-03 16:03,EShop scene no rar
3DS1430 - My Melody - Negai ga Kanau Fushigi na Hako (Japan).zip,58.58 MB,2016-05-02 10:05,Rom Secen no rar
0445 - I've Got to Run - Complete Edition! (USA) (eShop).zip,58.30 MB,2016-03-03 16:03,EShop scene no rar
z201 - Slice It! (Europe) (eShop).zip,58.24 MB,2016-05-03 2:05,EShop scene no rar
0229 - Dedede's Drum Dash Deluxe (USA) (eShop).zip,58.07 MB,2016-03-03 14:03,EShop scene no rar
"3DS1115 - Safari Quest (Europe) (En,Fr,De,Es,It,Nl).rar",58.04 MB,2016-01-14 11:01,Rom Secen no rar
3DS1228 - Star Fox 64 3D (Japan) (Rev 3).rar,576.53 MB,2016-01-15 16:01,Rom Secen no rar
3DS0696 - Sonic Generations - Ao no Bouken (Japan).rar,576.05 MB,2016-01-08 4:01,Rom Secen no rar
3DS0124 - Transformers Dark of the Moon Stealth Force Edition (Usa).rar,573.89 MB,2016-01-02 20:01,Rom Secen no rar
3DS1155 - Final Fantasy Explorers (Japan).rar,573.71 MB,2016-01-14 13:01,Rom Secen no rar
3DS1195 - Sekaiju to Fushigi no Dungeon (Japan).rar,571.67 MB,2016-01-14 16:01,Rom Secen no rar
3DS0146 - Paws and Claws - Pampered Pets Resort 3D (Usa).rar,57.95 MB,2016-01-02 22:01,Rom Secen no rar
3DS0430 - Kokuga (Japan).rar,57.60 MB,2016-01-05 23:01,Rom Secen no rar
0378 - Strike Force Foxx (USA) (eShop).zip,57.60 MB,2016-03-03 15:03,EShop scene no rar
0334 - Hana Samurai - Art of the Sword (Europe) (eShop).zip,57.45 MB,2016-03-03 14:03,EShop scene no rar
3DS0983 - Kirameki Waku Waku Sweets (Japan).rar,57.38 MB,2016-01-11 5:01,Rom Secen no rar
0087 - 3D Classics - Kirby's Adventure (Europe) (eShop).zip,57.34 MB,2016-03-03 13:03,EShop scene no rar
"3DS1084 - Disney Magical World (Europe) (En,Fr,De,Es,It).rar",569.89 MB,2016-01-13 4:01,Rom Secen no rar
"3DS0238 - Paper Mario - Sticker Star (Europe)(En,Fr,Ge,It,Es).zip",568.39 MB,2016-01-04 5:01,Rom Secen no rar
3DS1229 - Etrian Mystery Dungeon (Usa).rar,567.91 MB,2016-01-15 16:01,Rom Secen no rar
3DS0422 - StarFox 64 3D (Japan).rar,563.13 MB,2016-01-05 23:01,Rom Secen no rar
3DS0380 - StarFox 64 3D (Cn).rar,562.72 MB,2016-01-05 0:01,Rom Secen no rar
"3DS0886 - Mario Golf - World Tour (Europe) (En,Fr,De,Es,It,Nl,Pt,Ru).rar",561.78 MB,2016-01-09 14:01,Rom Secen no rar
3DS0785 - Hometown Story (Japan).rar,560.56 MB,2016-01-09 2:01,Rom Secen no rar
0123 - Sakura Samurai - Art of the Sword (USA) (eShop).zip,56.89 MB,2016-03-03 13:03,EShop scene no rar
"3DS0668 - Puzzler World 2013 (Europe) (En,Fr,De,Es,It).rar",56.86 MB,2016-01-08 3:01,Rom Secen no rar
3DS0562 - Tobidasu Puzzle Bobble 3D (JPN).rar,56.82 MB,2016-01-07 2:01,Rom Secen no rar
0469 - Simple DL Series Vol. 36 - The Misshitsu Kara no Dasshutsu - Tabi wa Michizure! Tetsudou-Hen (Japan) (eShop).zip,56.72 MB,2016-03-03 16:03,EShop scene no rar
z247 - 3D Classics - Kirby's Adventure (USA) (eShop).zip,56.57 MB,2016-05-03 2:05,EShop scene no rar
"0267 - Cube Tactics (Europe) (En,Fr,De,Es,It) (eShop).zip",56.27 MB,2016-03-03 14:03,EShop scene no rar
3DS1363 - Zelda no Densetsu - Triforce 3-Juushi (Japan).rar,558.90 MB,2016-01-16 20:01,Rom Secen no rar
3DS0254 - Paper Mario - Sticker Star (Usa).rar,556.23 MB,2016-01-04 7:01,Rom Secen no rar
3DS0469 - Hometown Story (Usa).rar,554.80 MB,2016-01-06 1:01,Rom Secen no rar
0002 - Phoenix Wright - Ace Attorney - Dual Destinies (Europe) (eShop).zip,554.29 MB,2016-03-03 13:03,EShop scene no rar
0465 - Phoenix Wright - Ace Attorney - Dual Destinies (USA) (eShop).zip,554.27 MB,2016-03-03 16:03,EShop scene no rar
3DS0889 - Mario Golf World Tour (Japan).rar,554.26 MB,2016-01-09 14:01,Rom Secen no rar
3DS0911 - Mario Golf World Tour (Usa).rar,554.25 MB,2016-01-11 2:01,Rom Secen no rar
z137 - Simple DL Series Vol. 39 - The Misshitsu Kara no Dasshutsu - Nou o Kitaeru Sports Gym Hen (Japan) (eShop).zip,55.44 MB,2016-05-03 2:05,EShop scene no rar
z348 - Terraria (Europe) (eShop).zip,55.43 MB,2018-01-30 9:01,EShop scene no rar
0342 - Puzzle Box Setup (Europe) (eShop).zip,55.36 MB,2016-03-03 14:03,EShop scene no rar
"3DS0328 - Farming Simulator 2012 3D (Europe)(En,Fr,Ge).rar",55.30 MB,2016-01-04 22:01,Rom Secen no rar
z312 - PUZZLEBOX setup (USA) (eShop).zip,55.28 MB,2016-05-03 3:05,EShop scene no rar
0335 - Balloon Pop Remix (Europe) (eShop).zip,55.18 MB,2016-03-03 14:03,EShop scene no rar
z148 - Terraria (USA) (eShop).zip,55.11 MB,2016-05-03 2:05,EShop scene no rar
0541 - Oh! Gattiman Kyuukyoku no Omega Chinpou to Momige 26 (Japan) (eShop).zip,55.06 MB,2016-03-03 16:03,EShop scene no rar
"z369 - Mario & Luigi - Superstar Saga + Bowser's Minions (USA) (En,Fr,Es) (eShop) [b].zip",546.74 MB,2018-01-30 9:01,EShop scene no rar
"3DS1174 - Imagine Collection (Europe) (En,Fr,De,Es,Nl,Sv,No,Da).rar",544.94 MB,2016-01-14 14:01,Rom Secen no rar
3DS0709 - Paper Mario - Super Seal (Japan).rar,544.68 MB,2016-01-08 22:01,Rom Secen no rar
3DS0506 - Meitantei Conan - Marionette Symphony (Japan).rar,544.14 MB,2016-01-06 22:01,Rom Secen no rar
3DS0844 - Starry Sky - In Spring 3D (Japan).rar,543.98 MB,2016-01-09 12:01,Rom Secen no rar
"3DS1581 - Rhythm Heaven Megamix (Europe) (En,Fr,De,Es,It).rar",540.59 MB,2017-02-05 5:02,Rom Secen no rar
0522 - Vampire Sniper (Japan) (eShop).zip,54.67 MB,2016-03-03 16:03,EShop scene no rar
z156 - Rytmik Ultimate (USA) (eShop).zip,54.28 MB,2016-05-03 2:05,EShop scene no rar
0543 - Daigasso! Band Brothers P Debut (Japan) (eShop).zip,539.33 MB,2016-03-03 16:03,EShop scene no rar
3DS0876 - UnchainBlades ReXX (Japan).rar,533.64 MB,2016-01-09 13:01,Rom Secen no rar
0266 - Monster Shooter (Europe) (eShop).zip,53.98 MB,2016-03-03 14:03,EShop scene no rar
3DS0180 - Shifting World (Usa).rar,53.67 MB,2016-01-02 23:01,Rom Secen no rar
0235 - Family Bowling 3D (USA) (eShop).zip,53.66 MB,2016-03-03 14:03,EShop scene no rar
